taxonID,seqID,log2FPKM+1,accessionNumber,blastHit,blastSpecies,gene,geneFamily,eValue,TPM,FPKM,assembler,output,genes_type,transcript_rank
Chmu3577La,TRINITY_DN4_c0_g1::TRINITY_DN4_c0_g1_i14::g.772::m.772,19.455248405058768,gi|1446201980|gb|MH233113.1|,Spilotes sulphureus three finger toxin subunit A mRNA  partial cds,Spilotes sulphureus,"Spilotes sulphureus three-finger toxin subunit A mRNA, partial cds",ThreeFTXs,3.41e-93,179894.36,718807.73,Trinity,Merger,Toxin,1
Chmu3577La,TRINITY_DN401_c0_g3::TRINITY_DN401_c0_g3_i1::g.3585::m.3585,19.42287327063941,gi|752783033|gb|GBSH01000020.1|,TSA  Boiga irregularis Birre 3FTx 2e transcribed RNA sequence,Boiga irregularis,3FTx-2e transcribed RNA sequence,ThreeFTXs,2.05e-55,175902.35,702856.78,Trinity,Merger,Toxin,2
Chmu3577La,TRINITY_DN401_c0_g2::TRINITY_DN401_c0_g2_i1::g.3582::m.3582,18.98408907941896,gi|1446201989|gb|MH233116.1|,Spilotes sulphureus three finger toxin 8 mRNA  partial cds,Spilotes sulphureus,"Spilotes sulphureus three-finger toxin 8 mRNA, partial cds",ThreeFTXs,6.19e-131,129772.96,518536.6,Trinity,Merger,Toxin,3
Chmu3577La,TRINITY_DN401_c0_g2::TRINITY_DN401_c0_g2_i6::g.3583::m.3583,18.674418326828008,gi|1446201989|gb|MH233116.1|,Spilotes sulphureus three finger toxin 8 mRNA  partial cds,Spilotes sulphureus,"Spilotes sulphureus three-finger toxin 8 mRNA, partial cds",ThreeFTXs,1.36e-117,104704.13,418368.55,Trinity,Merger,Toxin,4
Chmu3577La,TRINITY_DN401_c0_g2::TRINITY_DN401_c0_g2_i15::g.3579::m.3579,17.526810286721144,gi|1446201989|gb|MH233116.1|,Spilotes sulphureus three finger toxin 8 mRNA  partial cds,Spilotes sulphureus,"Spilotes sulphureus three-finger toxin 8 mRNA, partial cds",ThreeFTXs,6.12e-101,47260.48,188839.71,Trinity,Merger,Toxin,5
Chmu3577La,TRINITY_DN149_c0_g1::TRINITY_DN149_c0_g1_i10::g.27176::m.27176,16.93283712141956,gi|1446201966|gb|MH233106.1|,Spilotes sulphureus cysteine rich secretory protein mRNA  partial cds,Spilotes sulphureus,"Spilotes sulphureus cysteine-rich secretory protein mRNA, partial cds",CRISP,0,31310.73,125108.96,Trinity,Merger,Toxin,6
Chmu3577La,TRINITY_DN14963_c0_g1::TRINITY_DN14963_c0_g1_i1::g.16241::m.16241,14.433863808537033,gi|752783033|gb|GBSH01000020.1|,TSA  Boiga irregularis Birre 3FTx 2e transcribed RNA sequence,Boiga irregularis,3FTx-2e transcribed RNA sequence,ThreeFTXs,2.68e-39,5538.74,22131.27,Trinity,Merger,Toxin,7
Chmu3577La,TRINITY_DN149_c0_g1::TRINITY_DN149_c0_g1_i12::g.27175::m.27175,13.9662161268518,gi|1446201966|gb|MH233106.1|,Spilotes sulphureus cysteine rich secretory protein mRNA  partial cds,Spilotes sulphureus,"Spilotes sulphureus cysteine-rich secretory protein mRNA, partial cds",CRISP,0,4005.23,16003.79,Trinity,Merger,Toxin,8
Chmu3577La,TRINITY_DN20_c0_g1::TRINITY_DN20_c0_g1_i3::g.1228::m.1228,13.27833619872937,gi|1446201993|gb|MH233118.1|,Spilotes sulphureus metalloproteinase mRNA  partial cds,Spilotes sulphureus,"Spilotes sulphureus metalloproteinase mRNA, partial cds",SVMP,0,2486.21,9934.22,Trinity,Merger,Toxin,9
Chmu3577La,TRINITY_DN6_c0_g1::TRINITY_DN6_c0_g1_i2::g.849::m.849,11.154849746754342,gi|752782903|gb|GBSH01000078.1|,TSA  Boiga irregularis Birre CTL 9a transcribed RNA sequence,Boiga irregularis,CTL-9a transcribed RNA sequence,Other,0,570.37,2279.05,Trinity,Merger,Toxin,10
Chmu3577La,TRINITY_DN54_c0_g1::TRINITY_DN54_c0_g1_i13::g.1703::m.1703,10.924033059656267,gi|1446201940|gb|MH233093.1|,Spilotes sulphureus three finger toxin 1 mRNA  partial cds,Spilotes sulphureus,"Spilotes sulphureus three-finger toxin 1 mRNA, partial cds",ThreeFTXs,1.31e-7,486.01,1941.95,Trinity,Merger,Toxin,11
Chmu3577La,TRINITY_DN20_c0_g1::TRINITY_DN20_c0_g1_i4::g.1227::m.1227,10.503875416721703,gi|752782856|gb|GBSH01000099.1|,TSA  Boiga irregularis Birre SVMPIII 3c transcribed RNA sequence,Boiga irregularis,SVMPIII-3c transcribed RNA sequence,SVMP,0,363.15,1451.05,Trinity,Merger,Toxin,12
Chmu3577La,TRINITY_DN165_c0_g1::TRINITY_DN165_c0_g1_i1::g.26815::m.26815,10.03296864625496,gi|752778944|gb|GBSH01001987.1|,TSA  Boiga irregularis Birre PLA2Inh 2 transcribed RNA sequence,Boiga irregularis,PLA2Inh-2 transcribed RNA sequence,PLA2,0,261.95,1046.67,Trinity,Merger,Toxin,13
Chmu3577La,TRINITY_DN107_c0_g1::TRINITY_DN107_c0_g1_i2::g.27051::m.27051,10.007349699139914,gi|752782917|gb|GBSH01000072.1|,TSA  Boiga irregularis Birre CTL 4 transcribed RNA sequence,Boiga irregularis,CTL-4 transcribed RNA sequence,Other,0,257.33,1028.23,Trinity,Merger,Toxin,14
Chmu3577La,TRINITY_DN401_c0_g2::TRINITY_DN401_c0_g2_i10::g.3581::m.3581,9.533057132591521,gi|1446201989|gb|MH233116.1|,Spilotes sulphureus three finger toxin 8 mRNA  partial cds,Spilotes sulphureus,"Spilotes sulphureus three-finger toxin 8 mRNA, partial cds",ThreeFTXs,1.12e-88,185.16,739.86,Trinity,Merger,Toxin,15
Chmu3577La,TRINITY_DN5_c1_g2::TRINITY_DN5_c1_g2_i2::g.1410::m.1410,9.355549315713388,gi|752782838|gb|GBSH01000108.1|,TSA  Boiga irregularis Birre Waprin 2 transcribed RNA sequence,Boiga irregularis,Waprin-2 transcribed RNA sequence,Waprin,2.35e-155,163.7,654.09,Trinity,Merger,Toxin,16
Chmu3577La,TRINITY_DN6_c0_g1::TRINITY_DN6_c0_g1_i7::g.850::m.850,9.183436888707675,gi|752782911|gb|GBSH01000075.1|,TSA  Boiga irregularis Birre CTL 7 transcribed RNA sequence,Boiga irregularis,CTL-7 transcribed RNA sequence,Other,0,145.26,580.42,Trinity,Merger,Toxin,17
Chmu3577La,TRINITY_DN1047_c0_g2::TRINITY_DN1047_c0_g2_i3::g.36936::m.36936,9.03974158460541,gi|752782854|gb|GBSH01000100.1|,TSA  Boiga irregularis Birre SVMPIII 3d transcribed RNA sequence,Boiga irregularis,SVMPIII-3d transcribed RNA sequence,SVMP,1.5e-101,131.47,525.3,Trinity,Merger,Toxin,18
Chmu3577La,TRINITY_DN203_c0_g1::TRINITY_DN203_c0_g1_i1::g.11156::m.11156,8.089688813982352,gi|752782920|gb|GBSH01000071.1|,TSA  Boiga irregularis Birre CTL 3 transcribed RNA sequence,Boiga irregularis,CTL-3 transcribed RNA sequence,Other,1.16e-169,67.93,271.42,Trinity,Merger,Toxin,19
Chmu3577La,TRINITY_DN903_c0_g1::TRINITY_DN903_c0_g1_i2::g.31549::m.31549,8.055445136293523,ETE73896.1_1,Opha Zinc finger protein  ,Ophiophagus hannah,Zinc finger protein  ,ThreeFTXs,4.66e-98,66.33,265.03,Trinity,Merger,Toxin,20
Chmu3577La,TRINITY_DN1047_c0_g1::TRINITY_DN1047_c0_g1_i2::g.36935::m.36935,7.9342805936400245,gi|752782854|gb|GBSH01000100.1|,TSA  Boiga irregularis Birre SVMPIII 3d transcribed RNA sequence,Boiga irregularis,SVMPIII-3d transcribed RNA sequence,SVMP,5.65e-76,60.96,243.6,Trinity,Merger,Toxin,21
Chmu3577La,TRINITY_DN316_c0_g2::TRINITY_DN316_c0_g2_i2::g.37485::m.37485,7.916118314749021,gi|752782923|gb|GBSH01000070.1|,TSA  Boiga irregularis Birre CTL 2 transcribed RNA sequence,Boiga irregularis,CTL-2 transcribed RNA sequence,Other,0,60.2,240.54,Trinity,Merger,Toxin,22
Chmu3577La,TRINITY_DN161_c0_g2::TRINITY_DN161_c0_g2_i3::g.27009::m.27009,7.851998837112446,gi|752778926|gb|GBSH01001996.1|,TSA  Boiga irregularis Birre PlasminogenAct1 transcribed RNA sequence,Boiga irregularis,PlasminogenAct1 transcribed RNA sequence,SVSP,0,57.57,230.04,Trinity,Merger,Toxin,23
Chmu3577La,TRINITY_DN926_c0_g1::TRINITY_DN926_c0_g1_i1::g.31130::m.31130,7.850061788235894,gi|752778940|gb|GBSH01001989.1|,TSA  Boiga irregularis Birre PLA2Inh gB 1 transcribed RNA sequence,Boiga irregularis,PLA2Inh-gB-1 transcribed RNA sequence,PLA2,0,57.5,229.73,Trinity,Merger,Toxin,24
Chmu3577La,TRINITY_DN5932_c0_g1::TRINITY_DN5932_c0_g1_i2::g.19760::m.19760,7.5248942654487685,gi|752778705|gb|GBSH01002100.1|,TSA  Boiga irregularis Birre ProteaseReg 6A transcribed RNA sequence,Boiga irregularis,ProteaseReg-6A transcribed RNA sequence,SVSP,0,45.84,183.17,Trinity,Merger,Toxin,25
Chmu3577La,TRINITY_DN1932_c0_g1::TRINITY_DN1932_c0_g1_i1::g.18856::m.18856,7.473137487772256,gi|752778938|gb|GBSH01001990.1|,TSA  Boiga irregularis Birre PLA2Inh gB 2 transcribed RNA sequence,Boiga irregularis,PLA2Inh-gB-2 transcribed RNA sequence,PLA2,0,44.22,176.68,Trinity,Merger,Toxin,26
Chmu3577La,TRINITY_DN586_c0_g2::TRINITY_DN586_c0_g2_i1::g.29089::m.29089,7.348639642617756,gi|1446201935|gb|MH233091.1|,Spilotes sulphureus phospholipase B mRNA  partial cds,Spilotes sulphureus,"Spilotes sulphureus phospholipase B mRNA, partial cds",PLB,0,40.54,161.99,Trinity,Merger,Toxin,27
