taxonID,seqID,log2FPKM+1,accessionNumber,blastHit,blastSpecies,gene,geneFamily,eValue,TPM,FPKM,assembler,output,genes_type,transcript_rank
Rhbo3018,TRINITY_DN29_c0_g1::TRINITY_DN29_c0_g1_i64::g.1340::m.1340,18.74242569499672,gi|752782972|gb|GBSH01000047.1|,TSA  Boiga irregularis Birre 3FTx 8b transcribed RNA sequence,Boiga irregularis,3FTx-8b transcribed RNA sequence,ThreeFTXs,3.09e-74,119389.33,438562.34,Trinity,Merger,Toxin,1
Rhbo3018,TRINITY_DN29_c0_g1::TRINITY_DN29_c0_g1_i72::g.1337::m.1337,18.332575298620363,gi|1446201989|gb|MH233116.1|,Spilotes sulphureus three finger toxin 8 mRNA  partial cds,Spilotes sulphureus,"Spilotes sulphureus three-finger toxin 8 mRNA, partial cds",ThreeFTXs,8.19e-70,89864.45,330106.25,Trinity,Merger,Toxin,2
Rhbo3018,TRINITY_DN81_c0_g1::TRINITY_DN81_c0_g1_i10::g.2088::m.2088,18.17350971970798,gi|1446201989|gb|MH233116.1|,Spilotes sulphureus three finger toxin 8 mRNA  partial cds,Spilotes sulphureus,"Spilotes sulphureus three-finger toxin 8 mRNA, partial cds",ThreeFTXs,1.04e-43,80483.02,295644.69,Trinity,Merger,Toxin,3
Rhbo3018,TRINITY_DN12930_c0_g1::TRINITY_DN12930_c0_g1_i4::g.27629::m.27629,18.15429336579594,gi|752783033|gb|GBSH01000020.1|,TSA  Boiga irregularis Birre 3FTx 2e transcribed RNA sequence,Boiga irregularis,3FTx-2e transcribed RNA sequence,ThreeFTXs,1.97e-36,79418.11,291732.87,Trinity,Merger,Toxin,4
Rhbo3018,TRINITY_DN0_c4_g1::TRINITY_DN0_c4_g1_i7::g.740::m.740,14.339060813220415,gi|1446201966|gb|MH233106.1|,Spilotes sulphureus cysteine rich secretory protein mRNA  partial cds,Spilotes sulphureus,"Spilotes sulphureus cysteine-rich secretory protein mRNA, partial cds",CRISP,0,5641.58,20723.66,Trinity,Merger,Toxin,5
Rhbo3018,TRINITY_DN1288_c0_g1::TRINITY_DN1288_c0_g1_i1::g.38050::m.38050,13.878876661441012,gi|752778946|gb|GBSH01001986.1|,TSA  Boiga irregularis Birre PLA2Inh 1 transcribed RNA sequence,Boiga irregularis,PLA2Inh-1 transcribed RNA sequence,PLA2,0,4100.75,15063.62,Trinity,Merger,Toxin,6
Rhbo3018,TRINITY_DN43_c0_g6::TRINITY_DN43_c0_g6_i2::g.1811::m.1811,13.18166940947953,gi|752782913|gb|GBSH01000074.1|,TSA  Boiga irregularis Birre CTL 6 transcribed RNA sequence,Boiga irregularis,CTL-6 transcribed RNA sequence,Other,0,2529.1,9290.33,Trinity,Merger,Toxin,7
Rhbo3018,TRINITY_DN590_c1_g1::TRINITY_DN590_c1_g1_i7::g.36368::m.36368,13.126881895357121,gi|1446201993|gb|MH233118.1|,Spilotes sulphureus metalloproteinase mRNA  partial cds,Spilotes sulphureus,"Spilotes sulphureus metalloproteinase mRNA, partial cds",SVMP,0,2434.84,8944.1,Trinity,Merger,Toxin,8
Rhbo3018,TRINITY_DN3_c0_g1::TRINITY_DN3_c0_g1_i8::g.2007::m.2007,12.501267456622047,gi|752782840|gb|GBSH01000107.1|,TSA  Boiga irregularis Birre Waprin 1 transcribed RNA sequence,Boiga irregularis,Waprin-1 transcribed RNA sequence,Waprin,3.13e-88,1578.03,5796.71,Trinity,Merger,Toxin,9
Rhbo3018,TRINITY_DN61_c0_g1::TRINITY_DN61_c0_g1_i4::g.1307::m.1307,11.589599654208948,gi|752782981|gb|GBSH01000043.1|,TSA  Boiga irregularis Birre 3FTx 7b transcribed RNA sequence,Boiga irregularis,3FTx-7b transcribed RNA sequence,ThreeFTXs,2.22e-31,838.71,3080.89,Trinity,Merger,Toxin,10
Rhbo3018,TRINITY_DN1679_c0_g3::TRINITY_DN1679_c0_g3_i1::g.54561::m.54561,11.201970728373121,gi|752782923|gb|GBSH01000070.1|,TSA  Boiga irregularis Birre CTL 2 transcribed RNA sequence,Boiga irregularis,CTL-2 transcribed RNA sequence,Other,0,641.03,2354.75,Trinity,Merger,Toxin,11
Rhbo3018,TRINITY_DN902_c3_g1::TRINITY_DN902_c3_g1_i1::g.39001::m.39001,10.638055730954639,gi|752782905|gb|GBSH01000077.1|,TSA  Boiga irregularis Birre CTL 8b transcribed RNA sequence,Boiga irregularis,CTL-8b transcribed RNA sequence,Other,3.4e-41,433.55,1592.58,Trinity,Merger,Toxin,12
Rhbo3018,TRINITY_DN328_c0_g1::TRINITY_DN328_c0_g1_i4::g.47126::m.47126,10.213019138234374,gi|752778944|gb|GBSH01001987.1|,TSA  Boiga irregularis Birre PLA2Inh 2 transcribed RNA sequence,Boiga irregularis,PLA2Inh-2 transcribed RNA sequence,PLA2,0,322.84,1185.93,Trinity,Merger,Toxin,13
Rhbo3018,TRINITY_DN735_c0_g2::TRINITY_DN735_c0_g2_i2::g.49251::m.49251,9.739105506793749,gi|1446201935|gb|MH233091.1|,Spilotes sulphureus phospholipase B mRNA  partial cds,Spilotes sulphureus,"Spilotes sulphureus phospholipase B mRNA, partial cds",PLB,0,232.38,853.6,Trinity,Merger,Toxin,14
Rhbo3018,TRINITY_DN345_c0_g1::TRINITY_DN345_c0_g1_i1::g.46604::m.46604,8.408202344852178,ETE73896.1_1,Opha Zinc finger protein  ,Ophiophagus hannah,Zinc finger protein  ,ThreeFTXs,5.28e-98,92.21,338.72,Trinity,Merger,Toxin,15
Rhbo3018,TRINITY_DN637_c4_g1::TRINITY_DN637_c4_g1_i1::g.16167::m.16167,8.146237715231617,gi|752778938|gb|GBSH01001990.1|,TSA  Boiga irregularis Birre PLA2Inh gB 2 transcribed RNA sequence,Boiga irregularis,PLA2Inh-gB-2 transcribed RNA sequence,PLA2,0,76.85,282.31,Trinity,Merger,Toxin,16
Rhbo3018,TRINITY_DN72551_c0_g1::TRINITY_DN72551_c0_g1_i1::g.50045::m.50045,8.091805599690971,gi|752778705|gb|GBSH01002100.1|,TSA  Boiga irregularis Birre ProteaseReg 6A transcribed RNA sequence,Boiga irregularis,ProteaseReg-6A transcribed RNA sequence,SVSP,0,74,271.82,Trinity,Merger,Toxin,17
Rhbo3018,TRINITY_DN3_c0_g1::TRINITY_DN3_c0_g1_i1::g.2006::m.2006,8.09074759506678,gi|752782838|gb|GBSH01000108.1|,TSA  Boiga irregularis Birre Waprin 2 transcribed RNA sequence,Boiga irregularis,Waprin-2 transcribed RNA sequence,Waprin,2.32e-165,73.94,271.62,Trinity,Merger,Toxin,18
Rhbo3018,TRINITY_DN298_c0_g1::TRINITY_DN298_c0_g1_i1::g.13730::m.13730,7.607404296213712,gi|537459149|gb|GAEP01001207.1|,TSA  Micrurus fulvius Mfulv ProteaseReg7 mRNA sequence,Micrurus fulvius,ProteaseReg7 mRNA sequence,SVSP,0,52.82,194.01,Trinity,Merger,Toxin,19
Rhbo3018,TRINITY_DN1419_c0_g1::TRINITY_DN1419_c0_g1_i1::g.28147::m.28147,7.595294784005977,ETE66756.1_1,Opha Zinc finger protein with KRAB and SCAN domains 4  ,Ophiophagus hannah,Zinc finger protein with KRAB and SCAN domains 4  ,ThreeFTXs,0,52.37,192.38,Trinity,Merger,Toxin,20
Rhbo3018,TRINITY_DN92094_c0_g1::TRINITY_DN92094_c0_g1_i1::g.12478::m.12478,7.449726433253184,gi|752782917|gb|GBSH01000072.1|,TSA  Boiga irregularis Birre CTL 4 transcribed RNA sequence,Boiga irregularis,CTL-4 transcribed RNA sequence,Other,0,47.32,173.82,Trinity,Merger,Toxin,21
Rhbo3018,TRINITY_DN3291_c0_g1::TRINITY_DN3291_c0_g1_i31::g.26205::m.26205,7.357288072847815,gi|752778940|gb|GBSH01001989.1|,TSA  Boiga irregularis Birre PLA2Inh gB 1 transcribed RNA sequence,Boiga irregularis,PLA2Inh-gB-1 transcribed RNA sequence,PLA2,0,44.37,162.97,Trinity,Merger,Toxin,22
Rhbo3018,TRINITY_DN269_c0_g1::TRINITY_DN269_c0_g1_i3::g.13565::m.13565,7.1199786096548765,ETE68161.1_1,Opha Zinc finger protein  ,Ophiophagus hannah,Zinc finger protein  ,ThreeFTXs,0,37.59,138.1,Trinity,Merger,Toxin,23
Rhbo3018,TRINITY_DN2987_c0_g1::TRINITY_DN2987_c0_g1_i1::g.2774::m.2774,7.1081062236861285,gi|537459154|gb|GAEP01001206.1|,TSA  Micrurus fulvius Mfulv ProteaseReg4 mRNA sequence,Micrurus fulvius,ProteaseReg4 mRNA sequence,SVSP,0,37.29,136.96,Trinity,Merger,Toxin,24
Rhbo3018,TRINITY_DN19_c1_g2::TRINITY_DN19_c1_g2_i13::g.1931::m.1931,6.989706706994214,gi|752778936|gb|GBSH01001991.1|,TSA  Boiga irregularis Birre PLA2InhB transcribed RNA sequence,Boiga irregularis,PLA2InhB transcribed RNA sequence,PLA2,3.6e-134,34.32,126.09,Trinity,Merger,Toxin,25
