taxonID,seqID,log2FPKM+1,accessionNumber,blastHit,blastSpecies,gene,geneFamily,eValue,TPM,FPKM,assembler,output,genes_type,transcript_rank
Chmu3332VG,TRINITY_DN47_c0_g1::TRINITY_DN47_c0_g1_i1::g.257::m.257,8.4154882710497,gi|752782871|gb|GBSH01000093.1|,TSA  Boiga irregularis Birre PLA2 1b transcribed RNA sequence,Boiga irregularis,PLA2-1b transcribed RNA sequence,PLA2,0,112.33,340.44,Trinity,Merger,Toxin,1
Chmu3332VG,TRINITY_DN51_c0_g1::TRINITY_DN51_c0_g1_i7::g.827::m.827,8.300077953061185,gi|752782903|gb|GBSH01000078.1|,TSA  Boiga irregularis Birre CTL 9a transcribed RNA sequence,Boiga irregularis,CTL-9a transcribed RNA sequence,Other,0,103.67,314.19,Trinity,Merger,Toxin,2
Chmu3332VG,TRINITY_DN51_c0_g1::TRINITY_DN51_c0_g1_i5::g.828::m.828,7.431288654291593,gi|752782911|gb|GBSH01000075.1|,TSA  Boiga irregularis Birre CTL 7 transcribed RNA sequence,Boiga irregularis,CTL-7 transcribed RNA sequence,Other,0,56.62,171.6,Trinity,Merger,Toxin,3
Chmu3332VG,TRINITY_DN415_c0_g1::TRINITY_DN415_c0_g1_i3::g.1630::m.1630,6.931801228419244,ETE73896.1_1,Opha Zinc finger protein  ,Ophiophagus hannah,Zinc finger protein  ,ThreeFTXs,4.15e-98,39.95,121.09,Trinity,Merger,Toxin,4
Chmu3332VG,TRINITY_DN119_c3_g1::TRINITY_DN119_c3_g1_i1::g.10330::m.10330,6.834154981401319,gi|387016503|gb|JU174845.1|,TSA  Crotalus adamanteus Cadam InsulinGF1Rec  mRNA sequence,Crotalus adamanteus,"InsulinGF1Rec, mRNA sequence",Other,4.87e-22,37.32,113.1,Trinity,Merger,Toxin,5
Chmu3332VG,TRINITY_DN369_c0_g1::TRINITY_DN369_c0_g1_i1::g.13782::m.13782,5.597829097826899,gi|752778944|gb|GBSH01001987.1|,TSA  Boiga irregularis Birre PLA2Inh 2 transcribed RNA sequence,Boiga irregularis,PLA2Inh-2 transcribed RNA sequence,PLA2,0,15.65,47.43,Trinity,Merger,Toxin,6
Chmu3332VG,TRINITY_DN146_c0_g1::TRINITY_DN146_c0_g1_i2::g.10280::m.10280,4.878234879112339,gi|752782838|gb|GBSH01000108.1|,TSA  Boiga irregularis Birre Waprin 2 transcribed RNA sequence,Boiga irregularis,Waprin-2 transcribed RNA sequence,Waprin,0,9.37,28.41,Trinity,Merger,Toxin,7
Chmu3332VG,TRINITY_DN155_c0_g1::TRINITY_DN155_c0_g1_i2::g.10341::m.10341,4.82273014794452,gi|752778926|gb|GBSH01001996.1|,TSA  Boiga irregularis Birre PlasminogenAct1 transcribed RNA sequence,Boiga irregularis,PlasminogenAct1 transcribed RNA sequence,SVSP,0,9.01,27.3,Trinity,Merger,Toxin,8
Chmu3332VG,TRINITY_DN155_c0_g1::TRINITY_DN155_c0_g1_i4::g.10340::m.10340,4.67581593117227,gi|752778926|gb|GBSH01001996.1|,TSA  Boiga irregularis Birre PlasminogenAct1 transcribed RNA sequence,Boiga irregularis,PlasminogenAct1 transcribed RNA sequence,SVSP,0,8.1,24.56,Trinity,Merger,Toxin,9
Chmu3332VG,TRINITY_DN467_c0_g1::TRINITY_DN467_c0_g1_i2::g.1682::m.1682,4.601696516480957,gi|537459525|gb|GAEP01001140.1|,TSA  Micrurus fulvius Mfulv PLA2XIIA mRNA sequence,Micrurus fulvius,PLA2XIIA mRNA sequence,PLA2,0,7.68,23.28,Trinity,Merger,Toxin,10
