taxonID,seqID,log2FPKM+1,accessionNumber,blastHit,blastSpecies,gene,geneFamily,eValue,TPM,FPKM,assembler,output,genes_type,transcript_rank
Pssu0562,TRINITY_DN0_c0_g1::TRINITY_DN0_c0_g1_i12::g.435::m.435,20.417860280193466,gi|1446201987|gb|MH233115.1|,Spilotes sulphureus three finger toxin 4 mRNA  partial cds,Spilotes sulphureus,"Spilotes sulphureus three-finger toxin 4 mRNA, partial cds",ThreeFTXs,6.65e-166,375793.13,1400838.54,Trinity,Merger,Toxin,1
Pssu0562,TRINITY_DN0_c0_g1::TRINITY_DN0_c0_g1_i26::g.440::m.440,19.091662778208356,gi|1446201991|gb|MH233117.1|,Spilotes sulphureus three finger toxin 11 mRNA  partial cds,Spilotes sulphureus,"Spilotes sulphureus three-finger toxin 11 mRNA, partial cds",ThreeFTXs,7.72e-125,149872.91,558679.05,Trinity,Merger,Toxin,2
Pssu0562,TRINITY_DN0_c0_g1::TRINITY_DN0_c0_g1_i8::g.434::m.434,18.652423892148544,gi|1446201976|gb|MH233111.1|,Spilotes sulphureus three finger toxin 7 mRNA  partial cds,Spilotes sulphureus,"Spilotes sulphureus three-finger toxin 7 mRNA, partial cds",ThreeFTXs,1.48e-162,110534.74,412038.72,Trinity,Merger,Toxin,3
Pssu0562,TRINITY_DN0_c0_g1::TRINITY_DN0_c0_g1_i4::g.439::m.439,18.484618419846,gi|1446201989|gb|MH233116.1|,Spilotes sulphureus three finger toxin 8 mRNA  partial cds,Spilotes sulphureus,"Spilotes sulphureus three-finger toxin 8 mRNA, partial cds",ThreeFTXs,7.1e-141,98397.53,366795.01,Trinity,Merger,Toxin,4
Pssu0562,TRINITY_DN68_c0_g4::TRINITY_DN68_c0_g4_i1::g.851::m.851,14.26067921144808,gi|1446201966|gb|MH233106.1|,Spilotes sulphureus cysteine rich secretory protein mRNA  partial cds,Spilotes sulphureus,"Spilotes sulphureus cysteine-rich secretory protein mRNA, partial cds",CRISP,0,5265.39,19627.73,Trinity,Merger,Toxin,5
Pssu0562,TRINITY_DN0_c0_g1::TRINITY_DN0_c0_g1_i41::g.437::m.437,11.93169782900909,gi|1446201972|gb|MH233109.1|,Spilotes sulphureus three finger toxin 3 mRNA  partial cds,Spilotes sulphureus,"Spilotes sulphureus three-finger toxin 3 mRNA, partial cds",ThreeFTXs,1.44e-52,1047.73,3905.6,Trinity,Merger,Toxin,6
Pssu0562,TRINITY_DN3621_c0_g1::TRINITY_DN3621_c0_g1_i1::g.6373::m.6373,11.234757567010554,gi|752778944|gb|GBSH01001987.1|,TSA  Boiga irregularis Birre PLA2Inh 2 transcribed RNA sequence,Boiga irregularis,PLA2Inh-2 transcribed RNA sequence,PLA2,0,646.22,2408.9,Trinity,Merger,Toxin,7
Pssu0562,TRINITY_DN508_c0_g1::TRINITY_DN508_c0_g1_i17::g.19947::m.19947,10.957276199465348,gi|699236739|gb|GBSI01000011.1|,Htorq CTL 5 transcribed RNA sequence,HypsiglenaÂ sp,CTL-5 transcribed RNA sequence,Other,3.29e-40,533.1,1987.24,Trinity,Merger,Toxin,8
Pssu0562,TRINITY_DN57942_c0_g1::TRINITY_DN57942_c0_g1_i1::g.13906::m.13906,10.598247948830593,gi|752778946|gb|GBSH01001986.1|,TSA  Boiga irregularis Birre PLA2Inh 1 transcribed RNA sequence,Boiga irregularis,PLA2Inh-1 transcribed RNA sequence,PLA2,0,415.6,1549.21,Trinity,Merger,Toxin,9
Pssu0562,TRINITY_DN2602_c0_g1::TRINITY_DN2602_c0_g1_i2::g.16969::m.16969,9.482223098065461,gi|752782838|gb|GBSH01000108.1|,TSA  Boiga irregularis Birre Waprin 2 transcribed RNA sequence,Boiga irregularis,Waprin-2 transcribed RNA sequence,Waprin,2.34e-160,191.6,714.21,Trinity,Merger,Toxin,10
Pssu0562,TRINITY_DN60_c0_g1::TRINITY_DN60_c0_g1_i2::g.1255::m.1255,9.115459877231102,ETE62690.1_1,Opha Matrix metalloproteinase 9 ,Ophiophagus hannah,Matrix metalloproteinase-9 ,SVMP,0,148.53,553.66,Trinity,Merger,Toxin,11
Pssu0562,TRINITY_DN183_c0_g2::TRINITY_DN183_c0_g2_i4::g.18566::m.18566,8.87952198737617,gi|752778940|gb|GBSH01001989.1|,TSA  Boiga irregularis Birre PLA2Inh gB 1 transcribed RNA sequence,Boiga irregularis,PLA2Inh-gB-1 transcribed RNA sequence,PLA2,0,126.08,469.98,Trinity,Merger,Toxin,12
Pssu0562,TRINITY_DN2013_c0_g1::TRINITY_DN2013_c0_g1_i14::g.2344::m.2344,8.12350066435096,gi|1446201993|gb|MH233118.1|,Spilotes sulphureus metalloproteinase mRNA  partial cds,Spilotes sulphureus,"Spilotes sulphureus metalloproteinase mRNA, partial cds",SVMP,0,74.54,277.88,Trinity,Merger,Toxin,13
Pssu0562,TRINITY_DN3958_c0_g1::TRINITY_DN3958_c0_g1_i4::g.8314::m.8314,8.12013417585824,gi|1446201935|gb|MH233091.1|,Spilotes sulphureus phospholipase B mRNA  partial cds,Spilotes sulphureus,"Spilotes sulphureus phospholipase B mRNA, partial cds",PLB,4.11e-142,74.37,277.23,Trinity,Merger,Toxin,14
Pssu0562,TRINITY_DN508_c0_g1::TRINITY_DN508_c0_g1_i6::g.19952::m.19952,7.98327866412136,gi|699236739|gb|GBSI01000011.1|,Htorq CTL 5 transcribed RNA sequence,HypsiglenaÂ sp,CTL-5 transcribed RNA sequence,Other,5.28e-68,67.62,252.05,Trinity,Merger,Toxin,15
Pssu0562,TRINITY_DN1763_c0_g1::TRINITY_DN1763_c0_g1_i1::g.17252::m.17252,7.8755343515732354,ETE73896.1_1,Opha Zinc finger protein  ,Ophiophagus hannah,Zinc finger protein  ,ThreeFTXs,4.12e-98,62.73,233.84,Trinity,Merger,Toxin,16
Pssu0562,TRINITY_DN1355_c0_g2::TRINITY_DN1355_c0_g2_i1::g.27789::m.27789,7.662490363913776,gi|752783021|gb|GBSH01000026.1|,TSA  Boiga irregularis Birre 3FTx 3d transcribed RNA sequence,Boiga irregularis,3FTx-3d transcribed RNA sequence,ThreeFTXs,5.61e-72,54.08,201.6,Trinity,Merger,Toxin,17
Pssu0562,TRINITY_DN59646_c0_g1::TRINITY_DN59646_c0_g1_i1::g.13503::m.13503,7.656710871117522,gi|752778938|gb|GBSH01001990.1|,TSA  Boiga irregularis Birre PLA2Inh gB 2 transcribed RNA sequence,Boiga irregularis,PLA2Inh-gB-2 transcribed RNA sequence,PLA2,0,53.86,200.79,Trinity,Merger,Toxin,18
Pssu0562,TRINITY_DN508_c0_g1::TRINITY_DN508_c0_g1_i12::g.19946::m.19946,7.391200619463898,gi|699236739|gb|GBSI01000011.1|,Htorq CTL 5 transcribed RNA sequence,HypsiglenaÂ sp,CTL-5 transcribed RNA sequence,Other,1.28e-163,44.76,166.87,Trinity,Merger,Toxin,19
Pssu0562,TRINITY_DN1031_c0_g1::TRINITY_DN1031_c0_g1_i2::g.25132::m.25132,7.3885339790917985,gi|752778705|gb|GBSH01002100.1|,TSA  Boiga irregularis Birre ProteaseReg 6A transcribed RNA sequence,Boiga irregularis,ProteaseReg-6A transcribed RNA sequence,SVSP,0,44.68,166.56,Trinity,Merger,Toxin,20
Pssu0562,TRINITY_DN638_c2_g3::TRINITY_DN638_c2_g3_i1::g.8971::m.8971,7.380937194927824,gi|521755937|gb|GAAZ01001817.1|,TSA  Crotalus horridus Chorr PLB mRNA sequence,Crotalus horridus,PLB mRNA sequence,PLB,2.57e-54,44.45,165.68,Trinity,Merger,Toxin,21
Pssu0562,TRINITY_DN8155_c0_g1::TRINITY_DN8155_c0_g1_i2::g.15707::m.15707,7.208770848447551,gi|521755955|gb|GAAZ01001811.1|,TSA  Crotalus horridus PlasmaProteaseC1Inhib mRNA sequence,Crotalus horridus,PlasmaProteaseC1Inhib mRNA sequence,SVSP,0,39.42,146.93,Trinity,Merger,Toxin,22
Pssu0562,TRINITY_DN333_c1_g2::TRINITY_DN333_c1_g2_i9::g.25420::m.25420,7.167117030227439,ETE57819.1_1,Opha Zinc finger protein ,Ophiophagus hannah,Zinc finger protein ,ThreeFTXs,1.8e-77,38.29,142.72,Trinity,Merger,Toxin,23
