"seqID","accessionNumber","blastHit","blastSpecies","gene","geneFamily","eValue","TPM","FPKM","assembler","output"
"TRINITY_DN0_c0_g1::TRINITY_DN0_c0_g1_i12::g.435::m.435","gi|1446201987|gb|MH233115.1|","Spilotes sulphureus three-finger toxin 4 mRNA, partial cds","Spilotes sulphureus","Spilotes sulphureus three-finger toxin 4 mRNA, partial cds","3FTx",6.65e-166,375793.13,1400838.54,"Trinity","Merger"
"TRINITY_DN0_c0_g1::TRINITY_DN0_c0_g1_i26::g.440::m.440","gi|1446201991|gb|MH233117.1|","Spilotes sulphureus three-finger toxin 11 mRNA, partial cds","Spilotes sulphureus","Spilotes sulphureus three-finger toxin 11 mRNA, partial cds","3FTx",7.72e-125,149872.91,558679.05,"Trinity","Merger"
"TRINITY_DN0_c0_g1::TRINITY_DN0_c0_g1_i41::g.437::m.437","gi|1446201972|gb|MH233109.1|","Spilotes sulphureus three-finger toxin 3 mRNA, partial cds","Spilotes sulphureus","Spilotes sulphureus three-finger toxin 3 mRNA, partial cds","3FTx",1.44e-52,1047.73,3905.6,"Trinity","Merger"
"TRINITY_DN0_c0_g1::TRINITY_DN0_c0_g1_i4::g.439::m.439","gi|1446201989|gb|MH233116.1|","Spilotes sulphureus three-finger toxin 8 mRNA, partial cds","Spilotes sulphureus","Spilotes sulphureus three-finger toxin 8 mRNA, partial cds","3FTx",7.1e-141,98397.53,366795.01,"Trinity","Merger"
"TRINITY_DN0_c0_g1::TRINITY_DN0_c0_g1_i8::g.434::m.434","gi|1446201976|gb|MH233111.1|","Spilotes sulphureus three-finger toxin 7 mRNA, partial cds","Spilotes sulphureus","Spilotes sulphureus three-finger toxin 7 mRNA, partial cds","3FTx",1.48e-162,110534.74,412038.72,"Trinity","Merger"
"TRINITY_DN0_c0_g2::TRINITY_DN0_c0_g2_i1::g.443::m.443",NA,NA,NA,NA,NA,NA,106.13,395.61,"Trinity","Merger"
"TRINITY_DN0_c0_g4::TRINITY_DN0_c0_g4_i1::g.444::m.444","gi|752776508|gb|GBSH01003106.1|","TSA: Boiga irregularis Birre_Vigilin-1 transcribed RNA sequence","Boiga irregularis","Vigilin-1 transcribed RNA sequence","TBD",0,10.22,38.08,"Trinity","Merger"
"TRINITY_DN0_c0_g5::TRINITY_DN0_c0_g5_i1::g.445::m.445","gi|752778106|gb|GBSH01002392.1|","TSA: Boiga irregularis Birre_RpS7 transcribed RNA sequence","Boiga irregularis","RpS7 transcribed RNA sequence","TBD",7.62e-34,7.36,27.45,"Trinity","Merger"
"TRINITY_DN0_c17_g1::TRINITY_DN0_c17_g1_i2::g.463::m.463","gi|752779222|gb|GBSH01001848.1|","TSA: Boiga irregularis Birre_Nucleo56 transcribed RNA sequence","Boiga irregularis","Nucleo56 transcribed RNA sequence","TBD",3.66e-159,20.59,76.74,"Trinity","Merger"
"TRINITY_DN0_c17_g1::TRINITY_DN0_c17_g1_i3::g.459::m.459","gi|752779222|gb|GBSH01001848.1|","TSA: Boiga irregularis Birre_Nucleo56 transcribed RNA sequence","Boiga irregularis","Nucleo56 transcribed RNA sequence","TBD",1.5e-86,0,0,"Trinity","Merger"
"TRINITY_DN0_c17_g1::TRINITY_DN0_c17_g1_i4::g.460::m.460","gi|752779222|gb|GBSH01001848.1|","TSA: Boiga irregularis Birre_Nucleo56 transcribed RNA sequence","Boiga irregularis","Nucleo56 transcribed RNA sequence","TBD",0,11.42,42.58,"Trinity","Merger"
"TRINITY_DN0_c1_g1::TRINITY_DN0_c1_g1_i3::g.447::m.447","gi|387015221|gb|JU174204.1|","TSA: Crotalus adamanteus Cadam_Coatomer-a, mRNA sequence","Crotalus adamanteus","Coatomer-a, mRNA sequence","TBD",0,6.45,24.04,"Trinity","Merger"
"TRINITY_DN0_c20_g1::TRINITY_DN0_c20_g1_i1::g.464::m.464","ETE57347.1_1","Opha O-phosphoseryl-tRNA(Sec) selenium transferase ","Ophiophagus hannah","O-phosphoseryl-tRNA(Sec) selenium transferase ","TBD",2.18e-60,7.68,28.62,"Trinity","Merger"
"TRINITY_DN0_c34_g1::TRINITY_DN0_c34_g1_i1::g.465::m.465","gi|752777649|gb|GBSH01002576.1|","TSA: Boiga irregularis Birre_SolCarr40 transcribed RNA sequence","Boiga irregularis","SolCarr40 transcribed RNA sequence","TBD",1.24e-132,2.43,9.05,"Trinity","Merger"
"TRINITY_DN0_c3_g1::TRINITY_DN0_c3_g1_i4::g.452::m.452","gi|752776662|gb|GBSH01003033.1|","TSA: Boiga irregularis Birre_UbLigMdm2 transcribed RNA sequence","Boiga irregularis","UbLigMdm2 transcribed RNA sequence","TBD",0,14.21,52.98,"Trinity","Merger"
"TRINITY_DN0_c5_g1::TRINITY_DN0_c5_g1_i2::g.455::m.455","gi|699236239|gb|GBSI01000261.1|","Htorq_arfaptin-2 transcribed RNA sequence","Hypsiglena sp","arfaptin-2 transcribed RNA sequence","TBD",0,1.08,4.04,"Trinity","Merger"
"TRINITY_DN0_c5_g1::TRINITY_DN0_c5_g1_i7::g.457::m.457","gi|699236239|gb|GBSI01000261.1|","Htorq_arfaptin-2 transcribed RNA sequence","Hypsiglena sp","arfaptin-2 transcribed RNA sequence","TBD",0,10.34,38.55,"Trinity","Merger"
"TRINITY_DN1000_c0_g1::TRINITY_DN1000_c0_g1_i1::g.25202::m.25202","ETE63379.1_1","Opha Cytosol aminopeptidase  ","Ophiophagus hannah","Cytosol aminopeptidase  ","TBD",0,11.72,43.69,"Trinity","Merger"
"TRINITY_DN1000_c0_g1::TRINITY_DN1000_c0_g1_i2::g.25203::m.25203","ETE63379.1_1","Opha Cytosol aminopeptidase  ","Ophiophagus hannah","Cytosol aminopeptidase  ","TBD",0,13.77,51.33,"Trinity","Merger"
"TRINITY_DN10013_c0_g1::TRINITY_DN10013_c0_g1_i1::g.10141::m.10141","gi|387017051|gb|JU175120.1|","TSA: Crotalus adamanteus Cadam_MotileSperm2, mRNA sequence","Crotalus adamanteus","MotileSperm2, mRNA sequence","TBD",0,3.4,12.66,"Trinity","Merger"
"TRINITY_DN10015_c0_g1::TRINITY_DN10015_c0_g1_i2::g.10129::m.10129","ETE72422.1_1","Opha Cleavage and polyadenylation specificity factor subunit 7  ","Ophiophagus hannah","Cleavage and polyadenylation specificity factor subunit 7  ","TBD",3.28e-53,0,0,"Trinity","Merger"
"TRINITY_DN10017_c0_g1::TRINITY_DN10017_c0_g1_i1::g.10161::m.10161","gi|752776627|gb|GBSH01003049.1|","TSA: Boiga irregularis Birre_UDPGalTranslocator transcribed RNA sequence","Boiga irregularis","UDPGalTranslocator transcribed RNA sequence","TBD",2.64e-119,0.77,2.86,"Trinity","Merger"
"TRINITY_DN10017_c0_g1::TRINITY_DN10017_c0_g1_i2::g.10162::m.10162","gi|752776627|gb|GBSH01003049.1|","TSA: Boiga irregularis Birre_UDPGalTranslocator transcribed RNA sequence","Boiga irregularis","UDPGalTranslocator transcribed RNA sequence","TBD",0,2.94,10.96,"Trinity","Merger"
"TRINITY_DN1001_c0_g2::TRINITY_DN1001_c0_g2_i1::g.25139::m.25139","gi|387016025|gb|JU174606.1|","TSA: Crotalus adamanteus Cadam_G2Supp, mRNA sequence","Crotalus adamanteus","G2Supp, mRNA sequence","TBD",0,13.82,51.52,"Trinity","Merger"
"TRINITY_DN1001_c0_g2::TRINITY_DN1001_c0_g2_i2::g.25140::m.25140","gi|387016025|gb|JU174606.1|","TSA: Crotalus adamanteus Cadam_G2Supp, mRNA sequence","Crotalus adamanteus","G2Supp, mRNA sequence","TBD",0,1.64,6.13,"Trinity","Merger"
"TRINITY_DN10021_c0_g2::TRINITY_DN10021_c0_g2_i1::g.10124::m.10124","ETE72281.1_1","Opha Protein SYS1-like protein  ","Ophiophagus hannah","Protein SYS1-like protein  ","TBD",8.84e-56,6.09,22.69,"Trinity","Merger"
"TRINITY_DN10025_c0_g1::TRINITY_DN10025_c0_g1_i1::g.10126::m.10126","gi|752780032|gb|GBSH01001445.1|","TSA: Boiga irregularis Birre_lanC-2 transcribed RNA sequence","Boiga irregularis","lanC-2 transcribed RNA sequence","TBD",0,6.3,23.47,"Trinity","Merger"
"TRINITY_DN1002_c0_g1::TRINITY_DN1002_c0_g1_i2::g.25063::m.25063",NA,NA,NA,NA,NA,NA,30.46,113.55,"Trinity","Merger"
"TRINITY_DN1002_c0_g1::TRINITY_DN1002_c0_g1_i9::g.25064::m.25064",NA,NA,NA,NA,NA,NA,6.32,23.54,"Trinity","Merger"
